r g mean median sd
30 12 0.06684 0 0.136237201141887
30 13 0.05924 0 0.128261738150835
30 14 0.05288 0 0.121296407277456
30 15 0.04596 0 0.111918739289737
30 16 0.04128 0 0.10586013398805
30 17 0.0376 0 0.101294128657591
30 18 0.0344 0 0.0977701334713163
30 19 0.03232 0 0.0945958031096833
30 20 0.02748 0 0.085262649028278
30 21 0.02744 0 0.0905850542421433
31 0 0.251755 0.247 0.129704395473728
31 1 0.21956 0.2 0.152191223691015
31 2 0.20396 0.2 0.163628520413444
31 3 0.164 0.12 0.154261455317252
31 4 0.12588 0.04 0.150793117098109
31 5 0.11808 0.04 0.152925144105538
31 6 0.09844 0 0.141946874975518
31 7 0.09104 0 0.141672119308597
31 8 0.08384 0 0.142668878206877
31 9 0.0766 0 0.142292259406783
31 10 0.067 0 0.134513545391882
31 11 0.05896 0 0.127646433604751
31 12 0.05168 0 0.121404763978671
31 13 0.05016 0 0.121396505351314
31 14 0.04508 0 0.114703751248817
31 15 0.0398 0 0.106358225220582
31 16 0.03428 0 0.0953497413377361
31 17 0.0374 0 0.109165732522423
31 18 0.03436 0 0.103070917401632
31 19 0.03168 0 0.0989614620494815
31 20 0.02776 0 0.0896516582100957
31 21 0.0276 0 0.0941100244219323
32 0 0.256985 0.2475 0.127989249638487
32 1 0.2284 0.24 0.154042751108805
32 2 0.2112 0.2 0.165353868723722
32 3 0.17224 0.12 0.160061869919735
32 4 0.15384 0.12 0.158128615560433
32 5 0.14504 0.08 0.159147498649292
32 6 0.11592 0 0.153874725120895
32 7 0.10904 0 0.150567423265954
32 8 0.09552 0 0.141692647679428
32 9 0.08568 0 0.1332963071713
32 10 0.0808 0 0.140284852496055
32 11 0.06828 0 0.133196031407782
32 12 0.05368 0 0.120346752930609
32 13 0.0456 0 0.109879540923293
32 14 0.03712 0 0.0942538560982488
32 15 0.0328 0 0.0920425544616827
32 16 0.02784 0 0.0868866139499272
32 17 0.02508 0 0.0830246149445253
32 18 0.02408 0 0.0801359805291941
32 19 0.024 0 0.0821726983392437
32 20 0.02136 0 0.0775897581551236
32 21 0.01892 0 0.075033750163934
33 0 0.251164 0.2455 0.129448723732898
33 1 0.23132 0.24 0.142899537710511
