r gen percentile mean
15 11 50 0.0573462528109102
15 11 90 0.518341900198882
15 11 95 0.868806157433075
15 12 50 0.0605784185770557
15 12 90 0.441250899513284
15 12 95 0.666361213793731
15 13 50 0.0684037388197885
15 13 90 0.536520380999586
15 13 95 0.672821475869025
15 14 50 0.0624923553073416
15 14 90 0.640586097175771
15 14 95 0.768370525911287
15 15 50 0.142733207326686
15 15 90 0.561093355088918
15 15 95 0.700280932358243
15 16 50 NA
15 16 90 NA
15 16 95 NA
15 17 50 0.0723120079782796
15 17 90 0.57028460669765
15 17 95 0.65903513201139
15 18 50 0.109164047640154
15 18 90 0.617033619870247
15 18 95 0.824567642994214
15 19 50 0.0936600336089199
15 19 90 0.508742580033851
15 19 95 0.544229043886163
15 20 50 0.273734424926885
15 20 90 0.521341070600939
15 20 95 0.578118875947942
15 21 50 0.25888651413516
15 21 90 0.55442031152486
15 21 95 0.631985012926362
16 0 50 0.027718983599951
16 0 90 0.130748997298782
16 0 95 0.196185624006778
16 1 50 0.0422502592407454
16 1 90 0.245288844189268
16 1 95 0.348366480750926
16 2 50 0.0430689120962999
16 2 90 0.288969628719513
16 2 95 0.428049878933837
16 3 50 0.0572995472777096
16 3 90 0.376569524272189
16 3 95 0.583745482221087
16 4 50 0.0544499187155307
16 4 90 0.415488144818532
16 4 95 0.611807624841927
16 5 50 0.0701076365551771
16 5 90 0.588117683599738
16 5 95 0.822400753779772
16 6 50 0.0677456628103378
